country_code,indicator_code,year,impact_value
ISL,SH.STA.AIRP.P5,2019,8.2
ISR,SH.STA.AIRP.P5,2019,15.1
ITA,SH.STA.AIRP.P5,2019,15.0
JAM,SH.STA.AIRP.P5,2019,35.9
JOR,SH.STA.AIRP.P5,2019,38.7
JPN,SH.STA.AIRP.P5,2019,11.8
KAZ,SH.STA.AIRP.P5,2019,83.4
KEN,SH.STA.AIRP.P5,2019,131.9
KGZ,SH.STA.AIRP.P5,2019,124.9
KHM,SH.STA.AIRP.P5,2019,163.3
KIR,SH.STA.AIRP.P5,2019,246.6
KOR,SH.STA.AIRP.P5,2019,18.9
KWT,SH.STA.AIRP.P5,2019,45.2
LAO,SH.STA.AIRP.P5,2019,195.3
LBN,SH.STA.AIRP.P5,2019,58.6
LBR,SH.STA.AIRP.P5,2019,152.7
LBY,SH.STA.AIRP.P5,2019,53.9
LCA,SH.STA.AIRP.P5,2019,27.7
LKA,SH.STA.AIRP.P5,2019,91.6
LSO,SH.STA.AIRP.P5,2019,288.3
LTU,SH.STA.AIRP.P5,2019,38.8
LUX,SH.STA.AIRP.P5,2019,12.5
LVA,SH.STA.AIRP.P5,2019,40.1
MAR,SH.STA.AIRP.P5,2019,66.6
MDA,SH.STA.AIRP.P5,2019,68.9
MDG,SH.STA.AIRP.P5,2019,208.0
MDV,SH.STA.AIRP.P5,2019,32.0
MEX,SH.STA.AIRP.P5,2019,44.7
MKD,SH.STA.AIRP.P5,2019,95.6
MLI,SH.STA.AIRP.P5,2019,167.1
MLT,SH.STA.AIRP.P5,2019,20.9
MMR,SH.STA.AIRP.P5,2019,184.1
MNE,SH.STA.AIRP.P5,2019,115.2
MNG,SH.STA.AIRP.P5,2019,214.7
MOZ,SH.STA.AIRP.P5,2019,228.4
MRT,SH.STA.AIRP.P5,2019,128.4
MUS,SH.STA.AIRP.P5,2019,34.7
MWI,SH.STA.AIRP.P5,2019,148.5
MYS,SH.STA.AIRP.P5,2019,76.5
NAM,SH.STA.AIRP.P5,2019,142.5
NER,SH.STA.AIRP.P5,2019,213.3
NGA,SH.STA.AIRP.P5,2019,165.2
NIC,SH.STA.AIRP.P5,2019,84.4
NLD,SH.STA.AIRP.P5,2019,13.1
NOR,SH.STA.AIRP.P5,2019,7.9
NPL,SH.STA.AIRP.P5,2019,177.9
NZL,SH.STA.AIRP.P5,2019,12.2
OMN,SH.STA.AIRP.P5,2019,104.0
PAK,SH.STA.AIRP.P5,2019,192.1
PAN,SH.STA.AIRP.P5,2019,27.3
PER,SH.STA.AIRP.P5,2019,37.9
PHL,SH.STA.AIRP.P5,2019,202.8
PNG,SH.STA.AIRP.P5,2019,189.6
POL,SH.STA.AIRP.P5,2019,40.9
PRK,SH.STA.AIRP.P5,2019,212.8
PRT,SH.STA.AIRP.P5,2019,10.0
PRY,SH.STA.AIRP.P5,2019,55.6
QAT,SH.STA.AIRP.P5,2019,90.8
ROU,SH.STA.AIRP.P5,2019,67.8
RUS,SH.STA.AIRP.P5,2019,67.1
RWA,SH.STA.AIRP.P5,2019,165.8
SAU,SH.STA.AIRP.P5,2019,91.1
SDN,SH.STA.AIRP.P5,2019,145.3
SEN,SH.STA.AIRP.P5,2019,146.4
SGP,SH.STA.AIRP.P5,2019,23.4
SLB,SH.STA.AIRP.P5,2019,281.2
SLE,SH.STA.AIRP.P5,2019,239.0
SLV,SH.STA.AIRP.P5,2019,40.3
SOM,SH.STA.AIRP.P5,2019,237.9
SRB,SH.STA.AIRP.P5,2019,71.5
SSD,SH.STA.AIRP.P5,2019,134.5
STP,SH.STA.AIRP.P5,2019,225.4
SUR,SH.STA.AIRP.P5,2019,51.0
SVK,SH.STA.AIRP.P5,2019,30.3
SVN,SH.STA.AIRP.P5,2019,18.8
SWE,SH.STA.AIRP.P5,2019,8.1
SWZ,SH.STA.AIRP.P5,2019,173.7
SYC,SH.STA.AIRP.P5,2019,43.1
SYR,SH.STA.AIRP.P5,2019,94.5
TCD,SH.STA.AIRP.P5,2019,227.4
TGO,SH.STA.AIRP.P5,2019,223.1
THA,SH.STA.AIRP.P5,2019,46.5
TJK,SH.STA.AIRP.P5,2019,203.8
TKM,SH.STA.AIRP.P5,2019,87.9
TLS,SH.STA.AIRP.P5,2019,185.6
TON,SH.STA.AIRP.P5,2019,52.3
TTO,SH.STA.AIRP.P5,2019,19.8
TUN,SH.STA.AIRP.P5,2019,55.9
TUR,SH.STA.AIRP.P5,2019,45.5
TZA,SH.STA.AIRP.P5,2019,128.3
UGA,SH.STA.AIRP.P5,2019,163.0
UKR,SH.STA.AIRP.P5,2019,78.9
URY,SH.STA.AIRP.P5,2019,16.2
USA,SH.STA.AIRP.P5,2019,14.2
UZB,SH.STA.AIRP.P5,2019,151.7
VCT,SH.STA.AIRP.P5,2019,34.4
VEN,SH.STA.AIRP.P5,2019,37.9
VNM,SH.STA.AIRP.P5,2019,102.8
VUT,SH.STA.AIRP.P5,2019,259.9
WSM,SH.STA.AIRP.P5,2019,145.5
YEM,SH.STA.AIRP.P5,2019,186.3
ZAF,SH.STA.AIRP.P5,2019,74.9
ZMB,SH.STA.AIRP.P5,2019,174.0
ZWE,SH.STA.AIRP.P5,2019,189.6
