country_code,city,year,pm25_concentration,pm10_concentration,no2_concentration,latitude,longitude
AUT,Vösendorf,2021,\N,\N,16.0,48.1247,16.3315
AUT,Wald am Arlberg,2013,\N,\N,28.0,47.1289,10.0343
AUT,Wald am Arlberg,2014,\N,\N,26.0,47.1289,10.0343
AUT,Wald am Arlberg,2015,\N,\N,28.0,47.1289,10.0343
AUT,Wald am Arlberg,2016,\N,\N,27.0,47.1289,10.0343
AUT,Wald am Arlberg,2017,\N,\N,25.0,47.1289,10.0343
AUT,Wald am Arlberg,2018,\N,\N,25.0,47.1289,10.0343
AUT,Wald am Arlberg,2019,\N,\N,23.0,47.1289,10.0343
AUT,Wald am Arlberg,2020,\N,\N,18.0,47.1289,10.0343
AUT,Wald am Arlberg,2021,\N,\N,16.0,47.1289,10.0343
AUT,Wildon,2010,\N,\N,15.0,46.873055,15.495011
AUT,Wildon,2013,\N,\N,13.0,46.87139444,15.49581667
AUT,Wolkersdorf im weinviertel,2013,\N,\N,15.0,48.39222222,16.52266662
AUT,Wolkersdorf im Weinviertel,2013,\N,\N,15.0,48.3929,16.522
AUT,Wolkersdorf im Weinviertel,2014,\N,\N,14.0,48.3929,16.522
AUT,Wolkersdorf im Weinviertel,2015,\N,\N,13.0,48.3929,16.522
AUT,Wolkersdorf im Weinviertel,2016,\N,\N,12.0,48.3929,16.522
AUT,Wolkersdorf im Weinviertel,2017,\N,\N,15.0,48.3929,16.522
AUT,Wolkersdorf im Weinviertel,2018,\N,\N,13.0,48.3929,16.522
AUT,Wolkersdorf im Weinviertel,2019,\N,\N,13.0,48.3929,16.522
AUT,Wolkersdorf im Weinviertel,2020,\N,\N,10.0,48.3929,16.522
AUT,Wolkersdorf im Weinviertel,2021,\N,\N,10.0,48.3929,16.522
AUT,Zell am See,2014,\N,\N,15.0,47.3266,12.7951
AUT,Zell am See,2015,\N,\N,18.0,47.3266,12.7951
AUT,Zell am See,2016,\N,\N,17.0,47.3266,12.7951
AUT,Zell am See,2017,\N,\N,18.0,47.3266,12.7951
AUT,Zell am See,2018,\N,\N,17.0,47.3266,12.7951
AUT,Zell am See,2019,\N,\N,17.0,47.3266,12.7951
AUT,Zell am See,2020,\N,\N,14.0,47.3266,12.7951
AUT,Zell am See,2021,\N,\N,13.0,47.3266,12.7951
AUT,Zwentendorf,2013,19.0,\N,15.0,48.3451,15.9071
AUT,Zwentendorf,2014,14.0,\N,14.0,48.3451,15.9071
AUT,Zwentendorf,2015,15.0,\N,14.0,48.3451,15.9071
AUT,Zwentendorf,2016,13.0,\N,14.0,48.3451,15.9071
AUT,Zwentendorf,2017,11.0,\N,14.0,48.3451,15.9071
AUT,Zwentendorf,2018,11.0,\N,12.0,48.3451,15.9071
AUT,Zwentendorf,2019,10.0,\N,12.0,48.3451,15.9071
AUT,Zwentendorf,2020,9.0,\N,10.0,48.3451,15.9071
AUT,Zwentendorf,2021,10.0,\N,11.0,48.3451,15.9071
BHR,Manama,2016,62.0,\N,\N,26.204765,50.571119
BHR,Manama,2017,63.0,\N,\N,26.204697,50.57083
BGD,Dhaka,2019,86.0,\N,\N,23.79637,90.42461
BGD,Rajshahi,2015,47.0,\N,\N,24.379999,88.610001
BLR,Babrujsk,2020,\N,\N,29.0,53.1449683,29.2281209
BLR,Babrujsk,2021,\N,\N,29.0,53.1449683,29.2281209
BLR,Borisov,2020,\N,\N,17.0,54.2240665,28.5117849
BLR,Borisov,2021,\N,\N,17.0,54.2240665,28.5117849
BLR,Brest,2020,\N,\N,31.0,52.093751,23.6851851
BLR,Brest,2021,\N,\N,27.0,52.093751,23.6851851
BLR,Gomel,2021,\N,\N,23.0,52.4238936,31.0131698
BLR,Grodno,2021,\N,\N,27.0,53.6834599,23.8342648
BLR,Lida,2020,\N,\N,23.0,53.8949515,25.295719
BLR,Lida,2021,\N,\N,27.0,53.8949515,25.295719
BLR,Minsk,2021,\N,\N,32.0,53.9024716,27.5618225
BLR,Mogilev,2021,\N,\N,59.0,53.9090245,30.3429838
BLR,Mozyr,2020,\N,\N,18.0,52.0475464,29.2667179
BLR,Mozyr,2021,\N,\N,11.0,52.0475464,29.2667179
BLR,Novopolotsk,2020,\N,\N,19.0,55.5348855,28.64519
BLR,Novopolotsk,2021,\N,\N,17.0,55.5348855,28.64519
BLR,Orsha,2020,\N,\N,25.0,54.5119008,30.4254486
BLR,Orsha,2021,\N,\N,23.0,54.5119008,30.4254486
BLR,Penki / Mazyr district,2021,\N,\N,8.0,51.9536,29.2582
BLR,Pinsk,2020,\N,\N,29.0,52.1113862,26.1025274
BLR,Pinsk,2021,\N,\N,23.0,52.1113862,26.1025274
BLR,Polotsk,2020,\N,\N,11.0,55.4854656,28.7682339
BLR,Polotsk,2021,\N,\N,24.0,55.4854656,28.7682339
BLR,Rechitsa,2020,\N,\N,32.0,52.3848,24.4735
BLR,Rechitsa,2021,\N,\N,34.0,52.3848,24.4735
BLR,Soligorsk,2021,\N,\N,20.0,52.7893039,27.5318168
BLR,Sveltlogorsk,2020,\N,\N,37.0,52.62896755,29.76219448
BLR,Sveltlogorsk,2021,\N,\N,34.0,52.62896755,29.76219448
BLR,Vitebsk,2021,\N,\N,27.0,55.1930197,30.2070437
BLR,Zhlobin,2020,47.0,\N,35.0,52.8909181,30.0368186
BLR,Zhlobin,2021,\N,\N,72.0,52.8909181,30.0368186
BEL,Anzegem,2010,\N,\N,23.0,50.833035,3.404508
BEL,Assenede,2010,\N,\N,22.0,51.190849,3.686044
BEL,Assenede,2013,\N,\N,20.0,51.19031704,3.687295756
BEL,Beveren,2013,\N,\N,29.0,51.25306624,4.260534593
BEL,Beveren,2014,\N,\N,24.0,51.2155,4.2503
BEL,Beveren,2015,\N,\N,\N,51.2155,4.2503
BEL,Beveren-waas,2010,21.0,\N,32.0,51.27325186,4.255923857
BEL,Bree,2010,\N,\N,22.0,51.134262,5.605355
BEL,Bree,2013,\N,\N,18.0,51.13370835,5.60667961
BEL,Bree,2014,\N,\N,16.0,51.1337,5.6067
BEL,Bree,2015,\N,\N,15.0,51.1337,5.6067
BEL,Bree,2016,\N,\N,16.0,51.1337,5.6067
BEL,Bree,2017,\N,\N,16.0,51.1337,5.6067
BEL,Bree,2018,\N,\N,16.0,51.1337,5.6067
BEL,Bree,2019,\N,\N,14.0,51.1337,5.6067
BEL,Bree,2020,\N,\N,11.0,51.1337,5.6067
BEL,Brugge,2010,19.0,\N,19.0,51.2467415,3.2401055
BEL,Brugge,2013,17.0,\N,19.0,51.25715443,3.243774688
BEL,Brugge,2014,15.0,\N,17.0,51.24625,3.24135
BEL,Brugge,2015,13.0,\N,16.0,51.24625,3.24135
BEL,Brugge,2016,13.0,\N,17.0,51.24625,3.24135
BEL,Brugge,2017,14.0,\N,17.0,51.24625,3.24135
BEL,Brugge,2018,13.0,\N,16.0,51.24625,3.24135
BEL,Brugge,2019,12.0,\N,15.0,51.24625,3.24135
BEL,Brugge,2020,10.0,\N,13.0,51.24625,3.24135
BEL,Brussel,2013,\N,\N,36.0,50.85205095,4.347777506
BEL,Diepenbeek,2010,\N,\N,26.0,50.897484,5.416908
BEL,Diepenbeek,2014,\N,\N,22.0,50.8969,5.4182
BEL,Diepenbeek,2015,\N,\N,21.0,50.8969,5.4182
BEL,Diepenbeek,2016,\N,\N,19.0,50.8969,5.4182
BEL,Eindhout,2013,\N,\N,24.0,51.1152,5.01325
BEL,Eindhout,2014,\N,\N,21.0,51.1152,5.01325
BEL,Eindhout,2015,\N,\N,20.0,51.1152,5.01325
BEL,Eindhout,2016,\N,\N,21.0,51.1152,5.01325
BEL,Eindhout,2017,\N,\N,20.0,51.1152,5.01325
BEL,Eindhout,2018,\N,\N,18.0,51.1152,5.01325
BEL,Eindhout,2019,\N,\N,20.0,51.1152,5.01325
BEL,Eindhout,2020,\N,\N,14.0,51.1204,5.0216
BEL,Elsegem,2013,\N,\N,19.0,50.814,3.5317
BEL,Eppegem,2013,\N,\N,23.0,50.9549,4.4354
BEL,Eppegem,2014,\N,\N,22.0,50.9549,4.4354
BEL,Eppegem,2015,\N,\N,21.0,50.9549,4.4354
BEL,Eppegem,2016,\N,\N,21.0,50.9549,4.4354
BEL,Eppegem,2017,\N,\N,21.0,50.9549,4.4354
BEL,Eppegem,2018,\N,\N,20.0,50.9549,4.4354
BEL,Eppegem,2019,\N,\N,18.0,50.9549,4.4354
BEL,Eppegem,2020,\N,\N,14.0,50.9549,4.4354
BEL,Ertvelde,2013,\N,\N,24.0,51.166,3.7621
BEL,Ertvelde,2014,\N,\N,22.0,51.166,3.7621
BEL,Ertvelde,2015,\N,\N,21.0,51.166,3.7621
BEL,Ertvelde,2016,\N,\N,21.0,51.166,3.7621
BEL,Ertvelde,2017,\N,\N,21.0,51.166,3.7621
BEL,Ertvelde,2018,\N,\N,21.0,51.166,3.7621
BEL,Ertvelde,2019,\N,\N,19.0,51.166,3.7621
BEL,Ertvelde,2020,\N,\N,15.0,51.166,3.7621
BEL,Eupen,2010,\N,\N,15.0,50.629421,6.001019
BEL,Geel,2013,\N,\N,23.0,51.12038414,5.021545978
BEL,Gellik,2013,\N,\N,21.0,50.8823,5.6189
BEL,Gellik,2014,\N,\N,18.0,50.8823,5.6189
BEL,Gellik,2015,\N,\N,17.0,50.8823,5.6189
BEL,Gellik,2016,\N,\N,19.0,50.8823,5.6189
BEL,Gellik,2017,\N,\N,18.0,50.8823,5.6189
BEL,Gellik,2018,\N,\N,18.0,50.8823,5.6189
BEL,Gellik,2019,\N,\N,16.0,50.8823,5.6189
BEL,Gellik,2020,\N,\N,13.0,50.8823,5.6189
BEL,Genk,2013,\N,\N,22.0,50.96798903,5.537719872
BEL,Genk,2014,\N,\N,19.0,50.968,5.5377
