country_code,country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
ITA,Italy,Mercato San Severino,69,1,69,0,54,40.7833,14.7667
DEU,Germany,Merchweiler,63,1,55,0,63,49.3603,7.06
USA,United States of America,Midvale,47,1,40,3,47,40.6148,-111.8927
USA,United States of America,Milpitas,50,1,31,4,50,37.4336,-121.8921
USA,United States of America,Minneapolis,52,1,30,2,52,44.9635,-93.2678
RUS,Russian Federation,Minyar,40,1,40,0,9,55.0667,57.55
BRA,Brazil,Miracema,30,0,24,0,30,-21.4119,-42.1969
JPN,Japan,Misawa,91,3,36,8,91,40.6831,141.3691
JPN,Japan,Mitsuke,116,3,20,14,116,37.5316,138.9127
BWA,Botswana,Mochudi,39,1,31,0,39,-24.4167,26.15
CHL,Chile,Molina,97,4,2,5,97,-35.1144,-71.2825
ITA,Italy,Monselice,87,1,63,0,87,45.2333,11.75
ITA,Italy,Montemurlo,67,1,67,0,43,43.9333,11.0333
LKA,Sri Lanka,Moratuwa,89,1,20,3,89,6.7991,79.8767
MLT,Malta,Mosta,70,1,70,0,42,35.9097,14.4261
PER,Peru,Motupe,38,1,18,0,38,-6.1519,-79.7142
KEN,Kenya,Moyale,30,0,15,0,30,3.527,39.056
TUR,Turkey,Mut,46,1,46,0,34,36.6333,33.4333
CAN,Canada,Nanticoke,31,1,31,0,31,41.2005,-76.0003
CHN,China,Kaohsiung,97,2,97,2,77,22.615,120.2975
RUS,Russian Federation,Kasimov,34,1,34,0,32,54.9333,41.4
GEO,Georgia,Kaspi,33,1,33,0,31,41.925,44.4222
USA,United States of America,East Brunswick,55,2,28,11,55,40.4281,-74.4179
USA,United States of America,East Hemet,55,1,15,10,55,33.7301,-116.941
USA,United States of America,East Lake,52,1,20,10,52,28.1206,-82.6868
BEL,Belgium,Edegem,63,1,27,8,63,51.15,4.45
GTM,Guatemala,El Estor,38,1,13,1,38,15.5333,-89.35
COL,Colombia,El Zulia,62,1,8,3,62,7.9333,-72.6
USA,United States of America,Elk Grove Village,65,2,14,19,65,42.0064,-87.9921
USA,United States of America,Ellensburg,58,1,40,1,58,46.9999,-120.5475
USA,United States of America,Dothan,58,2,26,8,58,31.2336,-85.407
DEU,Germany,Drochtersen,57,1,29,6,57,53.7,9.3833
USA,United States of America,Marshfield,42,1,26,3,42,42.114,-70.7151
USA,United States of America,Marshfield,42,1,26,3,42,44.6627,-90.1728
ITA,Italy,Martina Franca,47,1,47,1,27,40.7,17.3333
SWZ,Kingdom of Eswatini,Mbabane,114,2,21,3,114,-26.3208,31.1617
CHE,Switzerland,Meilen,53,1,31,2,53,47.2667,8.6333
DEU,Germany,Meitingen,65,1,34,3,65,48.5333,10.8333
GAB,Gabon,Moanda,78,3,15,0,78,-5.9342,12.3494
GAB,Gabon,Moanda,78,3,15,0,78,-1.5667,13.2
USA,United States of America,Modesto,53,1,26,9,53,37.6375,-121.0028
KEN,Kenya,Mombasa,51,1,24,0,51,-4.05,39.6667
ITA,Italy,Mondolfo,56,1,46,2,56,43.75,13.1
DOM,Dominican Republic,Monte Plata,159,5,5,12,159,18.81,-69.79
ITA,Italy,Montecorvino Rovella,47,1,47,2,45,40.7,14.9833
JAM,Jamaica,Montego Bay,106,1,19,3,106,18.4667,-77.9167
NLD,Netherlands,Montfoort,34,1,29,5,34,52.05,4.95
PRT,Portugal,Montijo,31,1,31,4,28,38.6833,-8.9
PRT,Portugal,Montijo,31,1,31,4,28,38.91,-6.6175
USA,United States of America,Metairie,48,2,37,9,48,29.9977,-90.178
PER,Peru,Abancay,24,1,0,2,24,-13.6333,-72.8833
BRA,Brazil,Agrestina,22,0,17,1,22,-8.45,-35.95
USA,United States of America,Albert Lea,42,1,42,1,42,43.6548,-93.3643
ESP,Spain,Alcantarilla,31,1,31,1,26,37.9722,-1.2094
NLD,Netherlands,Almere,31,0,31,2,15,52.3667,5.2167
CHN,China,Dali,25,1,17,1,25,25.6808,100.3003
CHN,China,Dali,25,1,17,1,25,34.7953,109.9378
IND,India,Digboi,25,1,25,0,16,27.3932,95.6184
USA,United States of America,Dobbs Ferry,110,4,4,35,110,41.0127,-73.8697
ITA,Italy,Dolo,60,2,31,7,60,45.4269,12.0753
RUS,Russian Federation,Domodedovo,73,2,23,14,73,55.44,37.7619
IND,India,Khetia,137,2,26,4,137,21.6712,74.5853
IND,India,Khurai,160,3,67,2,160,24.0437,78.3301
DEU,Germany,Kierspe,54,1,45,0,54,51.1333,7.5667
RUS,Russian Federation,Kingisepp,34,1,34,0,5,59.3667,28.6167
RUS,Russian Federation,Kizlyar,60,1,43,0,60,43.85,46.7167
FRA,France,Kleinblittersdorf,66,1,54,0,66,49.1583,7.0381
AUT,Austria,Knittelfeld,63,1,40,0,63,47.215,14.8294
JPN,Japan,Komaki,126,3,6,23,126,35.291,136.9121
VNM,Viet Nam,Kon Tum,59,1,8,3,59,14.3544,108.0075
POL,Poland,Koronowo,42,1,42,0,22,53.3167,17.9333
JPN,Japan,Kosai,77,2,32,6,77,34.7184,137.5316
DEU,Germany,Krumbach,66,1,58,0,66,48.25,10.3667
MYS,Malaysia,Kuala Lipis,70,2,10,3,70,4.18,102.05
DEU,Germany,Kulmbach,54,1,49,0,54,50.1,11.4333
RUS,Russian Federation,Kurchaloy,58,1,44,2,58,43.2044,46.0911
EST,Estonia,Kuressaare,35,1,35,0,17,58.25,22.4833
IND,India,Kushtagi,69,1,32,2,69,15.7562,76.1911
RUS,Russian Federation,Kuvshinovo,31,1,31,0,10,57.0333,34.1833
CHN,China,Kuytun,84,1,20,4,84,44.4264,84.9032
MMR,Myanmar,Kyaukse,66,1,6,3,66,21.6131,96.1303
ESP,Spain,La Algaba,42,1,42,0,15,37.45,-6.0
DOM,Dominican Republic,La Mata,118,1,31,3,118,19.1,-70.1681
USA,United States of America,La Palma,85,3,22,19,85,33.8504,-118.0407
USA,United States of America,La Palma,85,3,22,19,85,8.41,-78.15
USA,United States of America,La Palma,85,3,22,19,85,22.7472,-83.5525
USA,United States of America,La Palma,85,3,22,19,85,14.3167,-89.1667
USA,United States of America,La Palma,85,3,22,19,85,5.3606,-74.3897
USA,United States of America,La Vista,42,1,39,3,42,41.1816,-96.0664
FIN,Finland,Lahti,34,1,34,0,4,60.9833,25.65
DEU,Germany,Laichingen,63,1,53,0,63,48.4897,9.6861
GBR,United Kingdom of Great Britain and Northern Ireland,Leatherhead,33,0,33,1,28,51.295,-0.329
USA,United States of America,Lemon Grove,50,1,34,6,50,32.7331,-117.0344
USA,United States of America,Lewisville,71,2,30,6,71,33.0454,-96.9815
USA,United States of America,Lewisville,71,2,30,6,71,36.103,-80.4166
MEX,Mexico,Linares,52,1,24,0,52,24.8597,-99.5647
MEX,Mexico,Linares,52,1,24,0,52,-35.85,-71.6
MEX,Mexico,Linares,52,1,24,0,52,38.0833,-3.6333
MEX,Mexico,Linares,52,1,24,0,52,1.35,-77.5333
CHN,China,Linjiang,78,2,49,1,78,41.8471,126.9301
COD,Democratic Republic of the Congo,Lisala,71,2,8,0,71,2.1486,21.5136
BIH,Bosnia and Herzegovina,Livno,96,1,41,0,96,43.8269,17.0081
AGO,Angola,Lobito,52,1,20,0,52,-12.3597,13.5308
RUS,Russian Federation,Lobnya,32,1,32,5,29,56.0167,37.4833
DEU,Germany,Lollar,56,1,50,0,56,50.6497,8.7044
USA,United States of America,Longview,46,1,37,4,46,32.5193,-94.7622
USA,United States of America,Longview,46,1,37,4,46,46.1461,-122.963
GBR,United Kingdom of Great Britain and Northern Ireland,Louth,45,1,36,1,45,53.3669,-0.0061
MWI,Malawi,Luchenza,62,1,21,0,62,-16.0167,35.3
BIH,Bosnia and Herzegovina,Lukavac,63,1,50,0,63,44.55,18.5167
UGA,Uganda,Luwero,102,2,12,1,102,0.8331,32.4994
ITA,Italy,Luzzi,49,1,49,0,43,39.45,16.2833
RUS,Russian Federation,Sayansk,34,1,34,0,24,54.1167,102.1667
ITA,Italy,Scalea,53,1,40,2,53,39.8167,15.8
USA,United States of America,Scottsdale,50,1,20,15,50,33.6872,-111.8651
USA,United States of America,Scottsdale,50,1,20,15,50,-41.1667,147.5167
DEU,Germany,Selm,36,1,33,2,36,51.6833,7.4833
IND,India,Seoni,173,1,36,0,173,22.08,79.53
RUS,Russian Federation,Serpukhov,55,1,30,2,55,54.9167,37.4
ARM,Armenia,Sevan,32,1,32,0,23,40.555,44.9536
USA,United States of America,Seven Hills,36,2,34,5,36,41.3803,-81.6736
COL,Colombia,Sevilla,71,2,2,5,71,37.24,-5.99
COL,Colombia,Sevilla,71,2,2,5,71,4.2689,-75.9361
COL,Colombia,Sevilla,71,2,2,5,71,9.7,124.05
BGR,Bulgaria,Sevlievo,39,1,39,0,32,43.0256,25.1133
IND,India,Shamgarh,192,1,36,0,192,24.18,75.63
CHN,China,Shaoyang,159,4,159,4,108,27.2418,111.4725
CHN,China,Shaoyang,159,4,159,4,108,32.9387,119.8404
ITA,Italy,Somma Vesuviana,62,1,48,4,62,40.8725,14.4369
IRN,Iran (Islamic Republic of),Sonqor,70,1,54,0,70,34.7836,47.6003
RUS,Russian Federation,Sortavala,50,1,30,3,50,61.7056,30.6958
USA,United States of America,South Elgin,51,1,32,8,51,41.9906,-88.3135
ZAF,South Africa,Springbok,34,0,15,1,34,-29.6667,17.8833
ITA,Italy,Squinzano,71,1,71,1,47,40.4333,18.05
ZAF,South Africa,Stellenbosch,181,11,12,8,181,-33.9367,18.8614
GBR,United Kingdom of Great Britain and Northern Ireland,Stockport,61,1,15,11,61,53.4083,-2.1494
USA,United States of America,Stratford,87,4,5,39,87,51.5423,-0.0026
USA,United States of America,Stratford,87,4,5,39,87,-39.3333,174.2833
USA,United States of America,Stratford,87,4,5,39,87,41.207,-73.1305
USA,United States of America,Stratford,87,4,5,39,87,43.3708,-80.9819
USA,United States of America,Stratford,87,4,5,39,87,46.2167,-63.0893
BOL,Bolivia (Plurinational State of),Sucre,14,0,6,0,14,-19.0475,-65.26
BOL,Bolivia (Plurinational State of),Sucre,14,0,6,0,14,-1.26,-80.44
BOL,Bolivia (Plurinational State of),Sucre,14,0,6,0,14,8.8139,-74.7253
BOL,Bolivia (Plurinational State of),Sucre,14,0,6,0,14,5.923,-73.795
BOL,Bolivia (Plurinational State of),Sucre,14,0,6,0,14,2.0333,-76.9167
DEU,Germany,Suhl,70,1,38,2,70,50.6106,10.6931
DEU,Germany,Sulingen,34,0,34,1,17,52.6667,8.8
CRI,Costa Rica,San Diego,56,2,5,11,56,32.8313,-117.1222
CRI,Costa Rica,San Diego,56,2,5,11,56,10.2558,-67.9539
CRI,Costa Rica,San Diego,56,2,5,11,56,10.3375,-73.1825
VEN,Venezuela (Bolivarian Republic of),San Mateo,58,1,15,7,58,14.6969,121.1219
VEN,Venezuela (Bolivarian Republic of),San Mateo,58,1,15,7,58,37.5522,-122.3121
VEN,Venezuela (Bolivarian Republic of),San Mateo,58,1,15,7,58,16.8833,121.5833
VEN,Venezuela (Bolivarian Republic of),San Mateo,58,1,15,7,58,9.74,-64.5531
BRA,Brazil,Santa Luzia,20,0,16,0,20,-19.77,-43.8506
BRA,Brazil,Santa Luzia,20,0,16,0,20,-6.8719,-36.9189
BRA,Brazil,Santa Luzia,20,0,16,0,20,-15.4289,-39.3339
SVK,Slovakia,Balassagyarmat,62,1,59,0,62,48.0786,19.2942
PAK,Pakistan,Bannu,176,3,114,1,176,32.9864,70.6044
BRA,Brazil,Batatais,48,1,22,0,48,-20.8911,-47.585
AUS,Australia,Batemans Bay,29,0,29,0,19,-35.7081,150.1744
CMR,Cameroon,Batouri,49,1,19,0,49,4.4333,14.3667
USA,United States of America,Battle Creek,64,1,32,1,64,42.2985,-85.2296
ESP,Spain,Baza,36,0,36,0,18,37.4833,-2.7667
USA,United States of America,Beaumont,68,2,34,6,68,30.0849,-94.1451
USA,United States of America,Beaumont,68,2,34,6,68,45.7517,3.0831
USA,United States of America,Beaumont,68,2,34,6,68,33.9076,-116.9766
USA,United States of America,Beaumont,68,2,34,6,68,53.3572,-113.4147
USA,United States of America,Beaumont,68,2,34,6,68,18.4833,-73.9667
IDN,Indonesia,Bekasi,193,9,16,29,193,-6.2349,106.9923
MUS,Mauritius,Bel Air,60,1,27,0,60,-20.2582,57.7545
MUS,Mauritius,Bel Air,60,1,27,0,60,39.5348,-76.346
TUR,Turkey,Belen,39,1,39,0,27,36.4889,36.1944
CHE,Switzerland,Bellinzona,87,1,41,0,87,46.1954,9.0297
IND,India,Berasia,164,2,57,2,164,23.6146,77.4645
ALB,Albania,Berat,91,1,47,0,91,40.7,19.95
BEL,Belgium,Beveren,47,1,38,2,47,51.2,4.25
IND,India,Bindki,180,4,101,6,180,26.03,80.6
DEU,Germany,Bitterfeld,46,1,46,0,44,51.6167,12.3167
USA,United States of America,Bixby,60,2,33,5,60,35.9454,-95.8776
USA,United States of America,Blacksburg,43,1,43,0,18,37.23,-80.4279
POL,Poland,Bochnia,70,1,46,0,70,49.9833,20.4333
DEU,Germany,Bockenem,44,1,44,0,37,52.0117,10.1319
POL,Poland,Bogatynia,55,1,43,0,55,50.9069,14.9569
UGA,Uganda,Bombo,127,3,13,1,127,0.5778,32.545
USA,United States of America,Bon Air,50,1,39,2,50,37.5187,-77.5713
FRA,France,Bondy,69,1,46,1,69,48.9022,2.4828
ETH,Ethiopia,Bonga,24,1,16,0,24,7.2667,36.2333
RUS,Russian Federation,Borovsk,38,1,38,0,18,55.2,36.5
TUR,Turkey,Boyabat,43,1,43,0,28,41.4653,34.7708
ZAF,South Africa,Breyten,53,1,18,5,53,-26.3,29.9833
MEX,Mexico,Buenos Aires,43,1,28,0,43,-34.5997,-58.3819
MEX,Mexico,Buenos Aires,43,1,28,0,43,2.9167,-76.6667
MEX,Mexico,Buenos Aires,43,1,28,0,43,9.1985,-83.2816
MEX,Mexico,Buenos Aires,43,1,28,0,43,-7.7258,-35.3269
AUS,Australia,Burnie,26,0,26,1,12,-41.0636,145.8753
ESP,Spain,Burriana,41,1,41,0,14,39.8894,-0.0925
TUR,Turkey,Bursa,54,1,43,0,54,40.1833,29.05
GBR,United Kingdom of Great Britain and Northern Ireland,Bury,40,1,35,1,40,53.593,-2.298
DEU,Germany,Cadolzburg,64,1,52,0,64,49.45,10.8667
ITA,Italy,Calenzano,67,1,67,0,45,43.8667,11.1667
AUS,Australia,Canberra,24,0,24,1,11,-35.2931,149.1269
BRA,Brazil,Capinzal,25,1,11,0,25,-27.3439,-51.6119
BRA,Brazil,Capivari,77,1,33,1,77,-22.995,-47.5078
FRA,France,Carvin,49,1,38,1,49,50.4931,2.9581
USA,United States of America,Cary,55,1,30,3,55,35.7819,-78.8195
USA,United States of America,Cary,55,1,30,3,55,42.2129,-88.2494
ITA,Italy,Cercola,72,1,72,1,56,40.8667,14.35
TTO,Trinidad and Tobago,Chaguanas,59,0,25,2,59,10.5167,-61.4
GTM,Guatemala,Chajul,41,1,24,0,41,15.4872,-91.0347
IND,India,Champdani,220,10,9,23,220,22.8,88.37
MEX,Mexico,Chetumal,57,1,27,0,57,18.5036,-88.3053
CHL,Chile,Chimbarongo,94,4,2,4,94,-34.7089,-71.0431
ZMB,Zambia,Chinsali,30,0,24,0,30,-10.5522,32.0692
FRA,France,Cholet,38,1,38,0,23,47.06,-0.8783
BDI,Burundi,Cibitoke,68,1,28,0,68,-2.8886,29.12
ITA,Italy,Cinisello Balsamo,90,1,66,0,90,45.55,9.2167
ITA,Italy,Civitavecchia,74,1,74,0,27,42.1,11.8
USA,United States of America,Clifton,52,1,46,2,52,40.863,-74.1575
USA,United States of America,Clifton,52,1,46,2,52,52.904,-1.177
USA,United States of America,Clifton,52,1,46,2,52,53.9721,-1.0979
USA,United States of America,Clifton,52,1,46,2,52,39.0764,-108.4605
IRL,Ireland,Clonmel,57,1,39,0,57,52.3539,-7.7116
KEN,Kenya,Taveta,43,1,18,0,43,-3.3956,37.6761
PHL,Philippines,Tayug,89,1,29,1,89,16.0267,120.7478
ROU,Romania,Tecuci,44,1,41,0,44,45.8467,27.4278
USA,United States of America,Tehachapi,34,1,34,4,30,35.1276,-118.4744
CAN,Canada,Terrace,24,0,24,1,11,54.5164,-128.5997
LSO,Lesotho,Teyateyaneng,65,2,23,1,65,-29.1511,27.7425
USA,United States of America,The Woodlands,51,1,12,11,51,30.1738,-95.5134
USA,United States of America,Thousand Oaks,50,2,31,14,50,34.1914,-118.8756
ISR,Israel,Tirat Karmel,132,2,42,9,132,32.7667,34.9667
JPN,Japan,Tomakomai,33,1,33,0,14,42.6341,141.6055
RUS,Russian Federation,Uren,32,1,32,0,4,57.45,45.7833
JPN,Japan,Ushiku,39,1,39,2,38,35.9794,140.1496
FRA,France,Valbonne,74,2,34,3,74,43.6414,7.0089
PRT,Portugal,Valongo,38,1,15,6,38,41.1833,-8.5
ROU,Romania,Vaslui,62,1,43,0,62,46.6383,27.7292
PRT,Portugal,Vendas Novas,35,0,27,1,35,38.6833,-8.45
ECU,Ecuador,Ventanas,75,2,5,8,75,-1.45,-79.47
HTI,Haiti,Verrettes,131,2,18,4,131,19.05,-72.4667
SSD,South Sudan,Tonj,84,2,4,0,84,7.28,28.68
USA,United States of America,Topeka,67,1,33,4,67,39.0346,-95.6955
RUS,Russian Federation,Toropets,30,0,30,0,29,56.5,31.65
ARG,Argentina,Trelew,18,0,18,0,2,-43.25,-65.3
USA,United States of America,Trotwood,45,1,32,7,45,39.7926,-84.3165
TTO,Trinidad and Tobago,Tunapuna,63,1,21,5,63,10.6333,-61.3833
COL,Colombia,Tunja,25,1,5,3,25,5.5333,-73.3667
COL,Colombia,Turbo,35,1,12,0,35,8.1,-76.7333
IDN,Indonesia,Ubud,35,1,26,0,35,-8.5069,115.2624
GHA,Ghana,Swedru,89,1,19,0,89,5.5306,-0.7028
USA,United States of America,Tallmadge,50,1,33,8,50,41.1023,-81.4216
JPN,Japan,Tamana,63,2,26,8,63,32.9281,130.5594
BRA,Brazil,Taquara,48,1,15,3,48,-29.6508,-50.7808
ITA,Italy,Tarquinia,46,1,46,1,29,42.2492,11.7561
BRA,Brazil,Olinda,28,0,19,1,28,-8.0,-34.8833
ISR,Israel,Or Yehuda,117,2,42,9,117,32.0333,34.85
PHL,Philippines,Ormoc,62,1,22,0,62,11.0106,124.6075
GBR,United Kingdom of Great Britain and Northern Ireland,Ormskirk,35,1,35,3,20,53.5665,-2.8869
USA,United States of America,Oro Valley,67,1,16,8,67,32.4208,-110.9767
DEU,Germany,Oschersleben,55,1,28,4,55,52.0167,11.25
BEL,Belgium,Ostend,39,1,39,2,30,51.2258,2.9194
FRA,France,Outreau,41,1,41,1,26,50.7039,1.5939
USA,United States of America,Oviedo,59,1,12,15,59,43.36,-5.845
USA,United States of America,Oviedo,59,1,12,15,59,28.658,-81.1872
CAN,Canada,Owen Sound,36,1,36,3,36,44.5667,-80.9333
AUS,Australia,Pakenham,24,0,17,3,24,-38.0712,145.4878
FRA,France,Palaiseau,84,3,16,10,84,48.7145,2.2457
IND,India,Palwal,179,4,179,2,175,28.143,77.329
ITA,Italy,Paola,64,1,48,1,64,35.8728,14.5075
ITA,Italy,Paola,64,1,48,1,64,39.3667,16.0333
BRA,Brazil,Parintins,18,0,7,0,18,-2.6278,-56.7358
PER,Peru,Pativilca,36,1,21,1,36,-10.6958,-77.7742
ITA,Italy,Pedara,55,1,43,1,55,37.6167,15.0667
BRA,Brazil,Penalva,21,0,11,0,21,-3.2939,-45.1739
USA,United States of America,Peru,63,2,19,14,63,40.7593,-86.0756
USA,United States of America,Peru,63,2,19,14,63,41.3482,-89.1371
IND,India,Perundurai,41,1,30,0,41,11.2777,77.5837
COL,Colombia,Pereira,121,4,0,5,121,4.8143,-75.6946
DEU,Germany,Pfullingen,58,1,37,2,58,48.4656,9.2261
CZE,Czechia,Prachatice,68,1,35,1,68,49.013,13.9975
IDN,Indonesia,Praya,51,1,25,0,51,-8.7223,116.2923
SRB,Serbia,Priboj,59,1,32,0,59,43.5836,19.5258
POL,Poland,Przeworsk,74,1,39,1,74,50.0667,22.5
PER,Peru,Puerto Maldonado,38,1,1,0,38,-12.6,-69.1833
COL,Colombia,Puerto Santander,100,4,3,6,100,8.3636,-72.4075
BOL,Bolivia (Plurinational State of),Punata,34,1,4,1,34,-17.55,-65.8333
FRA,France,Quimper,48,1,42,2,48,47.9967,-4.0964
MEX,Mexico,Quiroga,49,1,11,4,49,19.6638,-101.524
FRA,France,Pierrelatte,64,2,18,5,64,44.3775,4.6961
ESP,Spain,Pilas,23,0,23,2,22,37.3017,-6.2986
CHN,China,Pingxiang,77,2,23,7,77,27.6333,113.85
USA,United States of America,Placerville,70,2,20,10,70,38.7308,-120.7979
USA,United States of America,Pleasant Prairie,55,1,14,17,55,42.5266,-87.8895
BRA,Brazil,Pombos,40,1,9,4,40,-8.1492,-35.4011
ESP,Spain,Ponferrada,20,0,16,3,20,42.5461,-6.5908
ITA,Italy,Porcia,71,1,29,3,71,45.9667,12.6167
ITA,Italy,Olgiate Comasco,97,1,56,0,97,45.7833,8.9667
POL,Poland,Olkusz,64,1,45,0,64,50.2813,19.565
CHE,Switzerland,Olten,57,1,50,0,57,47.35,7.9
RUS,Russian Federation,Opochka,35,1,35,0,13,56.7,28.6667
USA,United States of America,Orangevale,53,1,25,7,53,38.6881,-121.2209
CAN,Canada,Oshawa,38,1,23,3,38,43.9,-78.85
FRA,France,Ostwald,69,1,61,0,69,48.5511,7.7136
BFA,Burkina Faso,Ouahigouya,81,1,35,0,81,13.5833,-2.4167
BEL,Belgium,Oupeye,56,1,41,1,56,50.7083,5.6431
USA,United States of America,Pacific Grove,41,1,34,1,41,36.6188,-121.9259
DEU,Germany,Paderborn,51,1,44,0,51,51.7181,8.7542
PHL,Philippines,Pagadian,44,1,18,1,44,7.8272,123.4364
ITA,Italy,Palermo,61,1,51,0,61,2.8917,-75.4375
ITA,Italy,Palermo,61,1,51,0,61,38.1157,13.3613
USA,United States of America,Palisades Park,54,1,40,4,54,40.8472,-73.9966
AUS,Australia,Palmerston,264,9,2,17,264,53.35,-6.379
RUS,Russian Federation,Raychikhinsk,106,2,41,1,106,49.7833,129.4167
USA,United States of America,Redlands,96,3,23,13,96,34.0512,-117.1712
USA,United States of America,Redlands,96,3,23,13,96,39.0886,-108.6582
BRA,Brazil,Remanso,28,0,20,0,28,-9.6219,-42.0808
BEL,Belgium,Retie,48,1,39,1,48,51.2667,5.0667
DEU,Germany,Rhede,44,1,39,1,44,51.8333,6.7006
BRA,Brazil,Rio Negro,24,1,14,0,24,-26.1,-49.79
ESP,Spain,Ripollet,55,1,55,1,52,41.4969,2.1574
IND,India,Robertsganj,169,3,66,4,169,24.7,83.07
USA,United States of America,Rochester Hills,47,1,32,1,47,42.6645,-83.1563
USA,United States of America,Rock Hill,49,1,49,1,14,34.9415,-81.0241
AUS,Australia,Rockhampton,25,0,25,4,13,-23.3781,150.5136
CHN,China,Rongcheng,143,4,4,23,143,26.2312,104.0966
CHN,China,Rongcheng,143,4,4,23,143,29.8239,112.9019
CHN,China,Rongcheng,143,4,4,23,143,39.05,115.8657
USA,United States of America,Madison Heights,55,1,34,1,55,42.5073,-83.1034
USA,United States of America,Madison Heights,55,1,34,1,55,37.4487,-79.1057
IND,India,Mahiari,198,10,3,24,198,22.59,88.24
BRA,Brazil,Mamanguape,25,0,25,0,23,-6.8389,-35.1258
GHA,Ghana,Mampong,39,1,25,0,39,7.0667,-1.4
ROU,Romania,Marghita,54,1,47,0,54,47.35,22.3333
USA,United States of America,Commerce,117,3,17,26,117,33.9963,-118.1519
USA,United States of America,Commerce,117,3,17,26,117,33.2421,-95.8992
PER,Peru,Contamana,26,1,5,0,26,-7.3333,-75.0167
ITA,Italy,Conversano,59,1,58,0,59,40.9667,17.1167
MEX,Mexico,Cozumel,30,0,25,0,30,20.5104,-86.9493
HUN,Hungary,Csorna,68,1,68,0,61,47.6167,17.25
IDN,Indonesia,Curug,281,15,6,59,281,-6.3711,106.8
THA,Thailand,Phon,93,2,14,5,93,15.8084,102.6018
PHL,Philippines,Pili,72,1,20,1,72,13.7177,123.7448
PHL,Philippines,Pili,72,1,20,1,72,13.5561,123.2756
BRA,Brazil,Piquete,52,1,20,0,52,-22.6136,-45.1761
GIN,Guinea,Pita,90,1,19,0,90,11.08,-12.401
MUS,Mauritius,Plaine Magnien,55,1,27,0,55,-20.4286,57.6531
DEU,Germany,Plettenberg,54,1,45,0,54,51.2167,7.8833
USA,United States of America,Plover,54,1,29,0,54,44.4615,-89.5382
RUS,Russian Federation,Podolsk,39,1,32,7,39,55.4311,37.5456
FIN,Finland,Porvoo,34,1,34,1,8,60.3944,25.6639
RUS,Russian Federation,Prokopyevsk,41,1,26,6,41,53.8833,86.7167
SRB,Serbia,Prokuplje,56,1,48,0,56,43.2339,21.5861
VEN,Venezuela (Bolivarian Republic of),Punto Fijo,84,1,28,0,84,11.7167,-70.1833
PER,Peru,Puquio,11,0,11,0,5,-14.6939,-74.1241
AZE,Azerbaijan,Pushkino,82,1,46,0,82,56.0167,37.8333
ECU,Ecuador,Puyo,48,1,3,0,48,-1.4861,-78.0028
MMR,Myanmar,Pyay,31,1,18,0,31,18.8167,95.2167
PRT,Portugal,Queluz,41,1,41,1,20,38.7514,-9.2664
FRA,France,Roubaix,46,1,38,1,46,50.6901,3.1817
ITA,Italy,Russi,68,1,67,0,68,44.3764,12.0334
BDI,Burundi,Ruyigi,40,1,27,0,40,-3.4833,30.25
RWA,Rwanda,Rwamagana,85,2,26,1,85,-1.95,30.4333
DEU,Germany,Saarlouis,66,1,54,0,66,49.3167,6.75
MEX,Mexico,Sabinas,45,1,18,1,45,27.8489,-101.12
IND,India,Saiha,33,1,10,1,33,22.48,92.97
IND,India,Sakleshpur,63,1,12,4,63,12.893,75.725
ITA,Italy,San Cesareo,63,1,63,0,48,41.8167,12.8
MEX,Mexico,San Julian,54,1,30,0,54,11.7536,125.4558
PAN,Panama,San Miguelito,61,1,28,3,61,9.033,-79.5
PAN,Panama,San Miguelito,61,1,28,3,61,11.4025,-84.9003
DEU,Germany,Sankt Augustin,54,1,48,0,54,50.77,7.1867
ESP,Spain,Santomera,38,1,38,0,38,38.0617,-1.0492
DEU,Germany,Parchim,43,1,43,0,25,53.4167,11.8333
FRA,France,Passy,64,1,39,0,64,45.9236,6.6864
IND,India,Penukonda,55,1,26,3,55,14.0847,77.5967
BRA,Brazil,Pereira Barreto,55,1,24,0,55,-20.6383,-51.1092
DEU,Germany,Pforzheim,65,1,60,0,65,48.895,8.705
PAK,Pakistan,Bahawalpur,189,2,126,0,189,29.3956,71.6836
USA,United States of America,Bainbridge,59,2,25,4,59,30.9052,-84.5732
USA,United States of America,Bainbridge,59,2,25,4,59,41.3855,-81.3478
USA,United States of America,Balch Springs,53,1,30,5,53,32.7194,-96.6151
PHL,Philippines,Baliuag,65,1,25,2,65,14.954,120.901
IND,India,Bangaon,62,1,38,1,62,23.0435,88.8318
IND,India,Bangaon,62,1,38,1,62,25.8673,86.5115
IND,India,Bangaon,62,1,38,1,62,26.3081,87.8833
PHL,Philippines,Bangar,30,1,30,0,19,4.7086,115.0739
PHL,Philippines,Bangar,30,1,30,0,19,16.9,120.4167
BRA,Brazil,Barroquinha,25,0,13,0,25,-3.0189,-41.1369
ITA,Italy,Bitetto,44,1,44,1,20,41.0333,16.75
USA,United States of America,Black Forest,70,1,19,6,70,39.0608,-104.6752
MWI,Malawi,Blantyre,53,2,24,0,53,-15.7861,35.0058
DEU,Germany,Bohmte,68,2,27,8,68,52.3667,8.3167
UKR,Ukraine,Bolekhiv,67,1,38,0,67,49.0669,23.8514
IND,India,Bongaigaon,68,2,47,0,68,26.4769,90.5583
