city,country_name,aqi_value,pm25_aqi_value,lat,lng
Whitehorse,Canada,20,10,60.7029,-135.0691
Wicklow,Ireland,38,38,52.9779,-6.033
Wil,Switzerland,59,59,47.4667,9.05
Wildeshausen,Germany,67,67,52.9,8.4333
Williamsport,United States of America,75,75,41.2399,-77.037
Fox Lake,United States of America,60,60,42.4239,-88.1844
Frederikssund,Denmark,36,25,55.8333,12.0666
Friendly,United States of America,41,41,38.7601,-76.9642
Fuldatal,Germany,44,44,51.3484,9.5256
Furano,Japan,29,29,43.342,142.3832
Fuzhou,China,168,99,27.9814,116.3577
Fuzhou,China,168,99,26.0769,119.2917
Galashiels,United Kingdom of Great Britain and Northern Ireland,25,23,55.6194,-2.8033
Gangelt,Germany,41,41,50.9831,6.0
Garbsen,Germany,36,36,52.4183,9.5981
Garoua,Cameroon,59,59,9.3,13.4
Geertruidenberg,Netherlands,35,35,51.7,4.8586
Geraldton,Australia,29,13,-28.7744,114.6089
Germersheim,Germany,51,51,49.2167,8.3667
Girardot,Colombia,103,103,4.305,-74.8017
Golborne,United Kingdom of Great Britain and Northern Ireland,35,35,53.4758,-2.5943
Gondomar,Portugal,27,21,41.15,-8.5333
Gondomar,Portugal,27,21,42.1111,-8.7611
Govindgarh,India,307,307,24.3785,81.2964
Hoffman Estates,United States of America,61,61,42.064,-88.1468
Holly Springs,United States of America,42,37,35.6526,-78.8399
Holly Springs,United States of America,42,37,34.1681,-84.4847
Holzminden,Germany,42,42,51.8297,9.4483
Huruta,Ethiopia,102,102,8.15,39.35
Iglesias,Italy,64,64,39.3167,8.5333
Iizuka,Japan,45,38,33.65,130.6833
Suzu,Japan,69,60,37.4363,137.2605
Szeged,Hungary,50,50,46.255,20.145
Tafresh,Iran (Islamic Republic of),125,82,34.6919,50.0131
Tagaytay,Philippines,41,41,14.1,120.9333
Tajimi,Japan,52,52,35.3328,137.1316
Takahagi,Japan,47,44,36.7192,140.7167
Takahashi,Japan,36,34,34.7914,133.6164
Talacogon,Philippines,37,37,8.4488,125.7869
Taldom,Russian Federation,46,46,56.7333,37.5333
Tamiami,United States of America,64,64,25.7556,-80.4016
Tamra,Israel,92,92,32.8536,35.1978
Tantangan,Philippines,35,35,6.6167,124.75
Tarogong,Indonesia,88,88,-7.215,107.8856
Tatvan,Turkey,45,43,38.5022,42.2814
Yeovil,United Kingdom of Great Britain and Northern Ireland,58,58,50.9452,-2.637
Yuanping,China,143,143,38.7299,112.7134
Yuncheng,China,187,187,35.0304,110.998
Zaventem,Belgium,58,58,50.8833,4.4667
Zemst,Belgium,65,65,50.9722,4.4222
Zhaozhou,China,73,73,37.7527,114.7775
Zhongshan,China,98,98,22.5333,113.35
Zhongshan,China,98,98,34.943,105.8771
Zhuji,China,156,156,29.7169,120.2314
Zinacantepec,Mexico,163,163,19.2833,-99.7333
Zmeinogorsk,Russian Federation,35,21,51.1667,82.2
Abbiategrasso,Italy,69,69,45.4,8.9167
Abidjan,Côte d'Ivoire,105,105,5.3167,-4.0333
Acworth,United States of America,64,64,34.0566,-84.6716
Adelphi,United States of America,54,54,39.0017,-76.9649
Alabaster,United States of America,80,80,33.2198,-86.8225
Alagir,Russian Federation,50,50,43.0333,44.2333
Alken,Belgium,35,35,50.8761,5.3078
Alma,Canada,55,55,48.55,-71.65
Alma,Canada,55,55,43.3799,-84.6556
Alotau,Papua New Guinea,28,13,-10.3167,150.4333
Ambovombe,Madagascar,26,20,-25.1764,46.0833
Anqiu,China,107,86,36.3619,119.1072
Antalaha,Madagascar,22,20,-14.8833,50.25
Antioch,United States of America,76,76,37.9787,-121.796
Antioch,United States of America,76,76,42.4742,-88.0721
Apam,Ghana,104,104,5.2789,-0.7397
Arkadak,Russian Federation,28,15,51.9333,43.5
Arsk,Russian Federation,28,19,56.1,49.8833
Ashtarak,Armenia,39,39,40.2975,44.3617
Atescatempa,Guatemala,104,104,14.175,-89.7417
Atri,Italy,57,57,42.5833,13.9833
Ayr,United Kingdom of Great Britain and Northern Ireland,29,20,55.458,-4.629
Ayr,United Kingdom of Great Britain and Northern Ireland,29,20,-19.5744,147.4066
Baarn,Netherlands,34,26,52.2167,5.2833
Bad Langensalza,Germany,32,32,51.1081,10.6467
Bahawalnagar,Pakistan,500,466,29.9928,73.2536
Ban Phai,Thailand,52,52,16.073,102.7362
Bangued,Philippines,27,27,17.5965,120.6179
Bargteheide,Germany,38,38,53.7167,10.2667
Bartlesville,United States of America,56,56,36.7365,-95.9456
Bat Khela,Pakistan,117,78,34.62,71.97
Batu Gajah,Malaysia,92,92,4.4667,101.05
Castel Goffredo,Italy,124,124,45.2981,10.475
Catanzaro,Italy,68,57,38.9,16.6
Catbalogan,Philippines,68,68,11.7833,124.8833
Cayambe,Ecuador,39,39,0.0439,-78.1561
Cesenatico,Italy,38,38,44.2,12.3944
Chacabuco,Argentina,17,17,-34.6333,-60.4667
Chachapoyas,Peru,21,21,-6.2167,-77.85
Chaoyang,China,151,151,41.5757,120.4486
Cherepanovo,Russian Federation,38,35,54.2333,83.3667
Cherkessk,Russian Federation,49,49,44.2222,42.0575
Chilpancingo,Mexico,72,72,17.55,-99.5
Cimarron Hills,United States of America,73,73,38.8597,-104.6995
Coari,Brazil,46,46,-4.085,-63.1408
Coatbridge,United Kingdom of Great Britain and Northern Ireland,35,35,55.8625,-4.0266
Cobh,Ireland,24,16,51.851,-8.2967
Colatina,Brazil,45,45,-19.5389,-40.6308
Comendador,Dominican Republic,65,65,18.8833,-71.7
Como,Italy,112,112,45.8103,9.0861
Conde,Brazil,19,11,-11.8139,-37.6108
Consett,United Kingdom of Great Britain and Northern Ireland,31,22,54.85,-1.83
Cooper City,United States of America,152,152,26.0463,-80.2862
Copperas Cove,United States of America,31,31,31.1192,-97.914
Corrientes,Argentina,13,13,-27.4833,-58.8167
Crevalcore,Italy,103,103,44.7167,11.15
Culfa,Azerbaijan,52,52,38.9558,45.6308
Culleredo,Spain,30,13,43.2883,-8.3894
Cuncolim,India,73,73,15.1773,73.9939
Curvelo,Brazil,42,42,-18.7558,-44.4308
Cuxhaven,Germany,35,30,53.8611,8.6944
Cypress Lake,United States of America,46,46,26.5392,-81.8999
Dalaba,Guinea,63,63,10.656,-12.272
Beaune,France,39,39,47.025,4.8397
Bedford,United States of America,56,56,52.135,-0.47
Bedford,United States of America,56,56,32.8464,-97.135
Bedford,United States of America,56,56,42.9406,-71.5302
Bedford,United States of America,56,56,41.225,-73.6673
Bedford,United States of America,56,56,42.4969,-71.2783
